country,date,External Debt to GDP,Year,Debt Growth Rate (%)
India,1967,13.5793083177093,1970,0.0
India,1966,13.5793083177093,1970,0.0
India,1965,13.5793083177093,1970,0.0
India,1964,13.5793083177093,1970,0.0
India,1963,13.5793083177093,1970,0.0
India,1962,13.5793083177093,1970,0.0
India,1961,13.5793083177093,1970,0.0
India,1960,13.5793083177093,1970,0.0
Japan,2023,13.5793083177093,1970,
Japan,2022,13.5793083177093,1970,0.0
Japan,2021,13.5793083177093,1970,0.0
Japan,2020,13.5793083177093,1970,0.0
Japan,2019,13.5793083177093,1970,0.0
Japan,2018,13.5793083177093,1970,0.0
Japan,2017,13.5793083177093,1970,0.0
Japan,2016,13.5793083177093,1970,0.0
Japan,2015,13.5793083177093,1970,0.0
Japan,2014,13.5793083177093,1970,0.0
Japan,2013,13.5793083177093,1970,0.0
Japan,2012,13.5793083177093,1970,0.0
Japan,2011,13.5793083177093,1970,0.0
Japan,2010,13.5793083177093,1970,0.0
Japan,2009,13.5793083177093,1970,0.0
Japan,2008,13.5793083177093,1970,0.0
Japan,2007,13.5793083177093,1970,0.0
Japan,2006,13.5793083177093,1970,0.0
Japan,2005,13.5793083177093,1970,0.0
Japan,2004,13.5793083177093,1970,0.0
Japan,2003,13.5793083177093,1970,0.0
Japan,2002,13.5793083177093,1970,0.0
Japan,2001,13.5793083177093,1970,0.0
Japan,2000,13.5793083177093,1970,0.0
Japan,1999,13.5793083177093,1970,0.0
Japan,1998,13.5793083177093,1970,0.0
Japan,1997,13.5793083177093,1970,0.0
Japan,1996,13.5793083177093,1970,0.0
Japan,1995,13.5793083177093,1970,0.0
Japan,1994,13.5793083177093,1970,0.0
Japan,1993,13.5793083177093,1970,0.0
Japan,1992,13.5793083177093,1970,0.0
Japan,1991,13.5793083177093,1970,0.0
Japan,1990,13.5793083177093,1970,0.0
Japan,1989,13.5793083177093,1970,0.0
Japan,1988,13.5793083177093,1970,0.0
Japan,1987,13.5793083177093,1970,0.0
Japan,1986,13.5793083177093,1970,0.0
Japan,1985,13.5793083177093,1970,0.0
Japan,1984,13.5793083177093,1970,0.0
Japan,1983,13.5793083177093,1970,0.0
Japan,1982,13.5793083177093,1970,0.0
Japan,1981,13.5793083177093,1970,0.0
Japan,1980,13.5793083177093,1970,0.0
Japan,1979,13.5793083177093,1970,0.0
Japan,1978,13.5793083177093,1970,0.0
Japan,1977,13.5793083177093,1970,0.0
Japan,1976,13.5793083177093,1970,0.0
Japan,1975,13.5793083177093,1970,0.0
Japan,1974,13.5793083177093,1970,0.0
Japan,1973,13.5793083177093,1970,0.0
Japan,1972,13.5793083177093,1970,0.0
Japan,1971,13.5793083177093,1970,0.0
Japan,1970,13.5793083177093,1970,0.0
Japan,1969,13.5793083177093,1970,0.0
Japan,1968,13.5793083177093,1970,0.0
Japan,1967,13.5793083177093,1970,0.0
Japan,1966,13.5793083177093,1970,0.0
Japan,1965,13.5793083177093,1970,0.0
Japan,1964,13.5793083177093,1970,0.0
Japan,1963,13.5793083177093,1970,0.0
Japan,1962,13.5793083177093,1970,0.0
Japan,1961,13.5793083177093,1970,0.0
Japan,1960,13.5793083177093,1970,0.0
Russian Federation,2023,13.5793083177093,1970,
Russian Federation,2022,17.1484707782721,1970,26.283831083709288
Russian Federation,2021,26.3205512084767,1970,53.48628777923481
Russian Federation,2020,31.6125813357188,1970,20.106076370990934
Russian Federation,2019,29.6288705998786,1970,-6.275067242290722
Russian Federation,2018,29.548796109,1970,-0.2702583299915795
Russian Federation,2017,33.8872742360339,1970,14.682419246557664
Russian Federation,2016,43.1184713428485,1970,27.240895926054275
Russian Federation,2015,37.125952762227,1970,-13.897799235443909
Russian Federation,2014,27.8421875364677,1970,-25.00613327075303
Russian Federation,2013,30.2102878450986,1970,8.505439112961799
Russian Federation,2012,27.6477290740837,1970,-8.482404352299666
Russian Federation,2011,27.4162213475377,1970,-0.8373480726958094
Russian Federation,2010,28.2773715301649,1970,3.1410243290311834
Russian Federation,2009,34.3613166173345,1970,21.515242605485984
Russian Federation,2008,25.9737563112073,1970,-24.409892087475683
Russian Federation,2007,32.7591854997396,1970,26.124173597503454
Russian Federation,2006,32.3865885396895,1970,-1.1373816362225009
Russian Federation,2005,33.5124776049074,1970,3.4764052528661216
Russian Federation,2004,37.044289752436,1970,10.538797486615593
Russian Federation,2003,44.5626607613604,1970,20.295627367049175
Russian Federation,2002,40.8533394581356,1970,-8.323832643406902
Russian Federation,2001,46.6826951160993,1970,14.26898201048492
Russian Federation,2000,57.9764384368627,1970,24.192569200805547
Russian Federation,1999,95.6702724203279,1970,65.01578054766924
Russian Federation,1998,67.8018769206859,1970,-29.129629083945787
Russian Federation,1997,32.3401786460413,1970,-52.30194190070492
Russian Federation,1996,32.8834236780997,1970,1.6797836462319582
Russian Federation,1995,31.1283376666771,1970,-5.337297078927595
Russian Federation,1994,31.1174870010575,1970,-0.03485783833300227
Russian Federation,1993,26.1163148011452,1970,-16.071902592077368
Russian Federation,1992,17.4798552537527,1970,-33.06921215015295
Russian Federation,1991,17.4798552537527,1970,0.0
Russian Federation,1990,17.4798552537527,1970,0.0
Russian Federation,1989,17.4798552537527,1970,0.0
Russian Federation,1988,17.4798552537527,1970,0.0
Russian Federation,1987,17.4798552537527,1970,0.0
Russian Federation,1986,17.4798552537527,1970,0.0
Russian Federation,1985,17.4798552537527,1970,0.0
Russian Federation,1984,17.4798552537527,1970,0.0
Russian Federation,1983,17.4798552537527,1970,0.0
Russian Federation,1982,17.4798552537527,1970,0.0
Russian Federation,1981,17.4798552537527,1970,0.0
Russian Federation,1980,17.4798552537527,1970,0.0
Russian Federation,1979,17.4798552537527,1970,0.0
Russian Federation,1978,17.4798552537527,1970,0.0
